Numara,Başlık,Açıklama,Tarih,Kılavuz Adı,Belge Adı,hasExplanation,Parent Numara,isMain
1,şifre değiştir,"kullanıcıların kendi parolalarını yenileyebilecekleri ayarları ekranıdır. öncelikle eski şifre, ardından 2 yeni şifre girilerek şifre değişimi yapabilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,,1
2,şirket ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,,1
2.1,logo şirket kısa ismi belirlenmesi,alandan şirketiniz kısa isim belirleyebilir şirket logonuzu yükleyebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.2,varsayılan para birimi puan/para birimi kurunun belirlenmesi,sistem üzerindeki ödüllendirme yapılarının çalışması neticesinde kullanıcıların hak etmiş oldukları ödüllerin muhasebe raporu üzerinde ödenecek tutarlarının gösterileceği temel para birimini belirleyebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.3,şifre güvenliği belirlenmesi,kullanıcıların şifrelerini kadar sıklıkta değiştireceğine parolaların zorluğuna dair politikaları belirleyebilirsiniz. bununla birlikte kullanıcılarınıza sisteme ilk eklendiklerinde yaratılan ilk parolayı kullandıktan sonra admin tarafından atanan parola ilk girişlerinin ardından parola değiştirmeyi zorunlu kılabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.4,e-mail günleri belirlenmesi,sistemden otomatik olarak çıkan hatırlatma maillerinin gönderilmesini istediğiniz gün günleri belirleyebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.5,yapay zeka desteği ayarları,yapay zeka desteği benzer öneri tespiti özelliğinin kelime havuzları aracılığıyla süreç tahminleme özelliklerini aktif/pasif edebilirsiniz. “benzer öneri bul” “süreç tahmini” ayarlarının çalışması öncelikle “yapaz zeka önerisi” ayarını aktif hale getirmeniz gerekmektedir. süreç tahmini ayarlarını aktif ederseniz “genel ayarlar -> ana veriler ->süreçler (5.5.10)” adımını takip ederek “süreçler” kısmından süreçlere ait kelimeleri havuza eklemelisiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.6,maksimum dosya boyutunun belirlenmesi,kullanıcıların sisteme yükleyebileceği dosyaların maksimum boyutunu megabayt(mb) cinsinden belirleyebilirsiniz. ayar üst sınır 1000mb ‘tır.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.7,anasayfa top5 listesi ayarları,"ayar seti kullanılarak ana sayfa ( genel bakış ) ekranında görüntülenmesini istediğiniz top5 listelerini aktif edebilirsiniz. “anasayfa top 5 listesini sadece yöneticiler görebilir” ayarı aktif edilir ise, bileşeni sadece “admin” üzeri role sahip kullanıcılar görüntüleyebilir. • “öneri adedi” ayarını aktif ederseniz, altındaki listeden seçeceğiniz statülerdeki öneriler sayılır yüksek 5 öneri ana sayfada listelenir, • “öneri puanı ( kazançlı )”, ayarını aktif ederseniz, altındaki listeden seçeceğiniz statülerdeki kazançlı öneriler sayılır yüksek 5 öneri ana sayfada listelenir, • “öneri puanı ( kazançsız )”, ayarını aktif ederseniz, altındaki listeden seçeceğiniz statülerdeki kazançsız öneriler sayılır yüksek 5 öneri ana sayfada listelenir, • başlangıç bitiş tarihi ayarı aktif edilir tarih aralığı seçilir sadece seçilen aralıkta yaratılmış öneriler sayılır.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.8,oturum süresi ayarları,kullanıcıların sisteme tekrar giriş yapmaları oturumlarının düşürülmesi maksadıyla kullanılır. belirlediğiniz süre kadar oturumu açık kalan kullanıcıların oturumları sonlandırılır.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
